epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,734.928,1.04303,0.50626,0.95096,0.95457,0.90658,0.95721,0.64927,1.15072,0.49896,0.99393,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,759.078,1.0256,0.4974,0.94831,0.95394,0.91069,0.95723,0.64764,1.16171,0.49624,0.99369,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,782.705,1.03677,0.49704,0.95061,0.95541,0.90467,0.95345,0.6505,1.15703,0.48975,0.99487,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,806.774,1.03689,0.49433,0.94984,0.95891,0.9016,0.95564,0.65719,1.15062,0.48716,0.987,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,832.846,1.03359,0.49385,0.94886,0.96454,0.90071,0.95575,0.65757,1.14002,0.48141,0.98928,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,857.098,1.01714,0.48448,0.94055,0.96241,0.89865,0.95291,0.65576,1.15073,0.48112,0.99017,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,883.759,1.03058,0.48557,0.94521,0.95353,0.90609,0.9554,0.65508,1.15163,0.48078,0.99021,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,909.978,1.01112,0.48112,0.94293,0.95701,0.90718,0.958,0.6569,1.15157,0.48131,0.99289,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,934.239,1.0166,0.47915,0.94225,0.96207,0.90349,0.95517,0.66102,1.14486,0.47622,0.98703,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,958.54,1.01164,0.47311,0.9365,0.9615,0.90225,0.95573,0.65767,1.14473,0.47688,0.98754,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,983.134,1.00352,0.46996,0.9371,0.96328,0.90567,0.95436,0.66181,1.1304,0.46779,0.98612,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,1041.86,0.98532,0.4422,0.93735,0.95883,0.90216,0.95694,0.65599,1.14395,0.47359,0.98916,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,1064.77,0.9778,0.43521,0.93428,0.95716,0.90718,0.95527,0.66173,1.13445,0.47349,0.99016,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,1088.11,0.9725,0.43228,0.93368,0.96663,0.90216,0.95536,0.66213,1.1323,0.47029,0.9876,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,1111.04,0.97056,0.42784,0.93107,0.96312,0.90414,0.95834,0.66379,1.13522,0.46649,0.9888,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,1135.65,0.95981,0.42562,0.92729,0.96523,0.89915,0.95618,0.65879,1.13936,0.47247,0.99109,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,1159.86,0.9544,0.42271,0.92716,0.96523,0.89965,0.95564,0.66247,1.13311,0.46844,0.98812,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,1184.18,0.95724,0.42094,0.92825,0.96241,0.89917,0.95486,0.66475,1.1306,0.46809,0.98701,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,1208.03,0.94889,0.41646,0.92324,0.96649,0.89814,0.95753,0.66322,1.13349,0.46271,0.9883,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,1231.81,0.94358,0.41128,0.92408,0.96507,0.901,0.95597,0.66408,1.12842,0.46184,0.98879,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,1255.25,0.9417,0.41308,0.92133,0.96648,0.89814,0.95391,0.66363,1.13467,0.46275,0.98822,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
