epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1073.32,0.75633,0.42676,1.00023,0.87749,0.87825,0.8993,0.58257,1.10771,0.56651,1.21059,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,1109.72,0.75412,0.43305,1.0082,0.86753,0.87434,0.89757,0.57836,1.11138,0.57422,1.22461,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,1146.34,0.7458,0.41803,1.00356,0.87137,0.89251,0.90234,0.57584,1.10812,0.57499,1.2232,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,1183.59,0.74112,0.4196,0.999,0.87945,0.88388,0.90637,0.58157,1.09933,0.55574,1.21717,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,1220.32,0.72424,0.40575,0.98835,0.87827,0.86795,0.89972,0.5772,1.10705,0.57193,1.22624,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,1257.28,0.72125,0.4021,0.98715,0.87313,0.88365,0.90773,0.57522,1.12169,0.56123,1.2311,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,1294.29,0.70862,0.4001,0.98771,0.88048,0.88489,0.90782,0.58337,1.09414,0.55363,1.2087,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,1328,0.70878,0.38887,0.98414,0.89002,0.87378,0.90613,0.58356,1.10985,0.56533,1.22964,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,1359,0.69982,0.39095,0.98321,0.88766,0.87052,0.89093,0.57212,1.10487,0.57102,1.21836,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,1390.53,0.69866,0.38626,0.98485,0.89426,0.87389,0.89327,0.57456,1.11685,0.56119,1.23729,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,1422.69,0.68874,0.38123,0.97702,0.88441,0.86951,0.89807,0.57533,1.11527,0.56704,1.23409,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
