epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,48.0599,1.50632,2.68952,1.7193,0.56095,0.55778,0.565,0.32272,1.25671,1.4645,1.51206,0.00165725,0.000552417,0.00165725,0.000552417,0.00165725,0.000552417,0.00165725,0.000552417
2,85.5387,1.21922,1.23989,1.40132,0.76163,0.73731,0.78581,0.46881,1.17051,0.90932,1.32746,0.00325843,0.00108614,0.00325843,0.00108614,0.00325843,0.00108614,0.00325843,0.00108614
3,122.03,1.15859,0.93534,1.29549,0.83178,0.79374,0.8483,0.51427,1.14076,0.7639,1.2547,0.0047936,0.00159787,0.0047936,0.00159787,0.0047936,0.00159787,0.0047936,0.00159787
4,158.498,1.12339,0.85003,1.24029,0.80449,0.82777,0.8753,0.52956,1.14632,0.70511,1.23508,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,196.078,1.10776,0.77442,1.21575,0.81061,0.84576,0.88468,0.53901,1.13852,0.68905,1.2337,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,234.137,1.07345,0.72034,1.20096,0.85005,0.82355,0.87336,0.5315,1.13105,0.66491,1.22029,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,272.422,1.05086,0.68465,1.18249,0.84922,0.84082,0.87555,0.54646,1.10942,0.67332,1.19552,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,311.758,1.04418,0.66828,1.16175,0.85354,0.84049,0.88443,0.55118,1.12369,0.64687,1.18727,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,350.495,1.02332,0.66709,1.15929,0.85342,0.82545,0.88422,0.55786,1.11302,0.64135,1.19386,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,388.757,1.00203,0.63938,1.15363,0.86487,0.8347,0.89229,0.56025,1.11876,0.62306,1.20643,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,426.937,0.99884,0.62299,1.14317,0.87745,0.8499,0.89675,0.56224,1.11171,0.61266,1.17808,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,465.96,0.98218,0.6056,1.13256,0.8607,0.85713,0.89751,0.5559,1.10248,0.59782,1.19159,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,504.7,0.96298,0.57833,1.12418,0.87309,0.86136,0.90646,0.56886,1.1198,0.58771,1.19344,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,543.665,0.94739,0.56526,1.11372,0.85468,0.87501,0.90425,0.56645,1.1136,0.58241,1.20289,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,582.674,0.93532,0.55344,1.0964,0.8377,0.86365,0.8929,0.56232,1.11394,0.60652,1.17587,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,621.554,0.92174,0.55066,1.09409,0.88993,0.8304,0.89974,0.56559,1.11221,0.59357,1.18445,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,660.771,0.89406,0.52561,1.08065,0.85812,0.8678,0.90056,0.57094,1.12077,0.57687,1.18044,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,694.603,0.90166,0.52421,1.08061,0.83739,0.87428,0.90274,0.57216,1.10874,0.59404,1.19093,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,726.109,0.89017,0.52045,1.08312,0.8585,0.87733,0.91448,0.57225,1.11055,0.5781,1.19386,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,761.856,0.87559,0.50766,1.07568,0.86311,0.85041,0.89671,0.56609,1.11031,0.59867,1.20088,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,797.123,0.87393,0.5028,1.06947,0.87728,0.85598,0.90338,0.57471,1.1143,0.57223,1.18622,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,830.585,0.85119,0.4982,1.0549,0.86426,0.87614,0.90997,0.57586,1.10313,0.57083,1.19841,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,864.405,0.84225,0.48664,1.05223,0.88133,0.84956,0.89947,0.57215,1.11127,0.57563,1.19773,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,901.022,0.84149,0.48587,1.05318,0.86682,0.87167,0.90697,0.57642,1.11554,0.57716,1.21551,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,934.572,0.8187,0.47568,1.05273,0.89207,0.85156,0.91159,0.57434,1.09444,0.56569,1.20934,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,967.932,0.80982,0.46829,1.0449,0.89435,0.84823,0.9125,0.58057,1.1113,0.56578,1.20777,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,1001.39,0.81583,0.46798,1.04358,0.83967,0.87775,0.9072,0.57655,1.08957,0.59502,1.19161,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,1035.08,0.80895,0.45529,1.03388,0.89075,0.84996,0.90097,0.57575,1.10959,0.57531,1.19869,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,1068.69,0.80259,0.4534,1.02654,0.87093,0.84103,0.89319,0.57259,1.11333,0.57757,1.21095,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,1102.29,0.78205,0.4415,1.02042,0.86934,0.87449,0.90017,0.57635,1.10347,0.56298,1.21166,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,1135.89,0.78413,0.44836,1.02853,0.87446,0.85385,0.90189,0.57891,1.10015,0.574,1.20267,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,1169.78,0.75721,0.43661,1.02003,0.8558,0.88208,0.89741,0.57396,1.1125,0.56789,1.22973,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,1203.46,0.76319,0.42907,1.01725,0.87752,0.86794,0.90694,0.57539,1.09595,0.55576,1.21953,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,1236.9,0.7459,0.42384,1.00766,0.87548,0.8534,0.90157,0.58012,1.09344,0.5643,1.19447,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,1270.29,0.7412,0.41218,0.9951,0.86835,0.87107,0.89934,0.57964,1.09988,0.57845,1.21824,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,1304.15,0.73204,0.41048,1.00479,0.87161,0.86482,0.89748,0.57896,1.09468,0.5758,1.2139,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,1337.59,0.72523,0.40222,0.99649,0.87048,0.86639,0.90224,0.57829,1.10101,0.57209,1.21665,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,1371.28,0.72344,0.40721,0.9964,0.8849,0.86059,0.90381,0.58302,1.10176,0.57238,1.2066,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,1404.02,0.72498,0.41182,0.99511,0.88386,0.85763,0.90605,0.57844,1.09731,0.56599,1.22101,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,1436.41,0.70595,0.39452,0.99012,0.88161,0.86494,0.89968,0.57702,1.0923,0.574,1.20938,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,1496.47,0.68477,0.34175,0.96162,0.85447,0.8793,0.88833,0.56789,1.12088,0.58434,1.23255,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,1528.18,0.65889,0.32279,0.94439,0.87805,0.86395,0.89769,0.57181,1.11135,0.57499,1.2216,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,1559.59,0.64549,0.31617,0.93926,0.88282,0.85663,0.89714,0.57359,1.1104,0.57862,1.23492,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,1589.84,0.6415,0.31155,0.94234,0.86393,0.87817,0.89089,0.57006,1.11152,0.58088,1.22915,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,1619.95,0.62684,0.30331,0.93595,0.87316,0.86888,0.89939,0.57786,1.10932,0.56666,1.22965,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,1650.55,0.62963,0.30832,0.9369,0.88481,0.86817,0.90529,0.58423,1.10233,0.56789,1.22355,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,1683.88,0.61166,0.30069,0.92819,0.87948,0.87063,0.89857,0.58368,1.09976,0.56084,1.22831,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,1717.06,0.61112,0.30003,0.92956,0.87677,0.87389,0.90136,0.58362,1.09321,0.56076,1.22177,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,1749.5,0.5922,0.2894,0.92012,0.89331,0.85396,0.89772,0.58355,1.09459,0.56429,1.22581,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,1781.38,0.59584,0.28813,0.92525,0.87962,0.86588,0.89813,0.58511,1.09106,0.56463,1.22635,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
