epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11546.9,0.84513,0.50774,1.11684,0.93536,0.87816,0.9377,0.65946,1.08725,0.50439,1.17634,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11907,0.83689,0.50315,1.10564,0.92451,0.88854,0.93698,0.66072,1.0843,0.50142,1.17725,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,12264.5,0.82412,0.49293,1.10148,0.91009,0.89689,0.93756,0.65885,1.08815,0.49832,1.1864,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,12623.3,0.81568,0.48028,1.09896,0.92949,0.87832,0.93907,0.65833,1.09379,0.50809,1.19142,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,12971.6,0.80376,0.4732,1.08473,0.93349,0.88171,0.93816,0.6581,1.09099,0.50219,1.18771,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,13306.3,0.7877,0.46952,1.08094,0.92502,0.88878,0.93989,0.65976,1.08873,0.50183,1.19169,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13641.6,0.77754,0.45363,1.07378,0.92353,0.88907,0.94043,0.66181,1.08953,0.49613,1.19424,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,13971,0.76596,0.44432,1.06521,0.92531,0.88621,0.93842,0.6614,1.09138,0.49864,1.18983,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,14305,0.75457,0.43714,1.05621,0.91848,0.89165,0.93658,0.66242,1.08972,0.49692,1.18632,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,14700.9,0.70016,0.32806,1.01152,0.92222,0.89127,0.93837,0.66381,1.09119,0.49835,1.19285,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,15057.3,0.67914,0.31822,1.0068,0.93138,0.88632,0.93912,0.6645,1.08977,0.50184,1.1988,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,15410.6,0.66406,0.30937,0.99451,0.92751,0.88854,0.93749,0.66421,1.09225,0.50523,1.20198,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,15764.4,0.65267,0.30356,0.98764,0.92882,0.88677,0.93799,0.66394,1.09143,0.50777,1.20286,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,16117.3,0.6387,0.29668,0.9805,0.93419,0.88125,0.93509,0.66216,1.09294,0.50868,1.20557,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,16471.3,0.62381,0.28751,0.97169,0.93173,0.88359,0.93495,0.66362,1.09253,0.51044,1.20808,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,16826.1,0.60997,0.28148,0.96508,0.93622,0.87429,0.93278,0.66266,1.09069,0.51567,1.20847,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,17180.5,0.60247,0.27677,0.9608,0.92987,0.88157,0.9323,0.6616,1.09122,0.51943,1.21203,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,17532.9,0.58834,0.27109,0.95635,0.93081,0.87998,0.93247,0.66181,1.09076,0.51846,1.21376,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,17888,0.58148,0.26421,0.95186,0.93418,0.8787,0.93176,0.66206,1.09144,0.52021,1.2172,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
